,Cluster,University,Rank,Size,University,Cluster,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,0,Amherst College,22,Small,Amherst College,0,COMMON_RESTAURANT,RESTAURANT,SWEETS,EASY_FOOD,PUB,MUSEUM,SELF_CARE,Student Center,THEATER,BOOKSTORE
1,5,Barnard College,34,Small,Barnard College,5,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,COFFEE,CONVENIENCE,Park,NOVEL_RESTAURANT,GROCERY,PUB,BOOKSTORE
2,0,Bates College,47,Small,Bates College,0,SWEETS,COMMON_RESTAURANT,VENUE,SELF_CARE,BOOKSTORE,THEATER,GYM,RESTAURANT,NOVEL_RESTAURANT,Tea Room
3,0,Boston College,48,Medium,Boston College,0,CONVENIENCE,SWEETS,COFFEE,BEAUTY,STADIUM,EASY_FOOD,COMMON_RESTAURANT,MUSEUM,RESTAURANT,NOVEL_RESTAURANT
4,5,Boston University,60,Large,Boston University,5,COMMON_RESTAURANT,COFFEE,EASY_FOOD,RESTAURANT,BREAKFAST,CONVENIENCE,SWEETS,GYM,PUB,THEATER
5,0,Bowdoin College,21,Small,Bowdoin College,0,COMMON_RESTAURANT,PUB,RESTAURANT,EASY_FOOD,COFFEE,MUSEUM,THEATER,CONVENIENCE,Park,GROCERY
6,2,Brigham Young University,78,Large,Brigham Young University,2,SWEETS,EASY_FOOD,SQUARE,COMMON_RESTAURANT,MUSEUM,Tea Room,COFFEE,Salon / Barbershop,NOVEL_RESTAURANT,RESTAURANT
7,1,Brown University,7,Medium,Brown University,1,RESTAURANT,COMMON_RESTAURANT,EASY_FOOD,COFFEE,NOVEL_RESTAURANT,SWEETS,BREAKFAST,GYM,ART,MUSEUM
8,0,Bryn Mawr College,71,Small,Bryn Mawr College,0,COMMON_RESTAURANT,BREAKFAST,EASY_FOOD,SELF_CARE,MUSEUM,GYM,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE,Student Center
9,2,California Institute of Technology,16,Small,California Institute of Technology,2,COFFEE,SWEETS,EASY_FOOD,COMMON_RESTAURANT,SQUARE,BREAKFAST,RESTAURANT,GYM,LIQUOR,FANCY_BAR
10,2,Carnegie Mellon University,28,Medium,Carnegie Mellon University,2,RESTAURANT,COFFEE,EASY_FOOD,COMMON_RESTAURANT,MUSEUM,SQUARE,ART,BEAUTY,VENUE,BOOKSTORE
11,0,Case Western Reserve University,79,Medium,Case Western Reserve University,0,EASY_FOOD,RESTAURANT,BREAKFAST,COFFEE,COMMON_RESTAURANT,PUB,GROCERY,GYM,FANCY_BAR,SELF_CARE
12,2,Claremont McKenna College,49,Small,Claremont McKenna College,2,COFFEE,COMMON_RESTAURANT,RESTAURANT,CONVENIENCE,EASY_FOOD,SQUARE,SELF_CARE,SWEETS,Park,MUSEUM
13,0,Colgate University,57,Small,Colgate University,0,TRAIL,COFFEE,GYM,BEAUTY,SELF_CARE,STADIUM,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,BOOKSTORE
14,2,College of William and Mary,56,Medium,College of William and Mary,2,COMMON_RESTAURANT,EASY_FOOD,COFFEE,PUB,SQUARE,BEAUTY,MUSEUM,THEATER,CONVENIENCE,ART
15,0,Colorado College,67,Small,Colorado College,0,LIQUOR,MUSEUM,CONVENIENCE,COMMON_RESTAURANT,COFFEE,ART,GYM,TRAIL,SELF_CARE,Clothing Store
16,5,Columbia University,8,Medium,Columbia University,5,COMMON_RESTAURANT,EASY_FOOD,NOVEL_RESTAURANT,RESTAURANT,COFFEE,CONVENIENCE,Park,GROCERY,GYM,PUB
17,1,Cooper Union,68,Small,Cooper Union,1,RESTAURANT,COMMON_RESTAURANT,SWEETS,COFFEE,EASY_FOOD,NOVEL_RESTAURANT,SELF_CARE,GYM,GROCERY,PUB
18,2,Cornell University,20,Large,Cornell University,2,COFFEE,EASY_FOOD,COMMON_RESTAURANT,GYM,BEAUTY,MUSEUM,THEATER,BOOKSTORE,VENUE,PUB
19,2,Dartmouth College,15,Medium,Dartmouth College,2,RESTAURANT,EASY_FOOD,COFFEE,COMMON_RESTAURANT,CONVENIENCE,Clothing Store,BOOKSTORE,VENUE,SQUARE,SWEETS
20,0,Duke University,6,Medium,Duke University,0,COMMON_RESTAURANT,GYM,THEATER,COFFEE,MUSEUM,BEAUTY,ART,EASY_FOOD,BREAKFAST,Smoke Shop
21,0,Emory University,30,Medium,Emory University,0,COFFEE,GYM,EASY_FOOD,MUSEUM,BREAKFAST,Park,RESTAURANT,FANCY_FOOD,NOVEL_RESTAURANT,COMMON_RESTAURANT
22,5,Georgetown University,24,Medium,Georgetown University,5,EASY_FOOD,COFFEE,Park,CONVENIENCE,BEAUTY,PUB,TRAIL,GYM,GROCERY,BREAKFAST
23,2,Georgia Institute of Technology,38,Medium,Georgia Institute of Technology,2,COMMON_RESTAURANT,COFFEE,EASY_FOOD,SQUARE,THEATER,BREAKFAST,RESTAURANT,VENUE,ART,GYM
24,0,Grinnell College,69,Small,Grinnell College,0,GYM,ART,THEATER,SELF_CARE,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,BOOKSTORE,MUSEUM,VENUE
25,4,Harvard University,4,Medium,Harvard University,4,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,SQUARE,PUB,BOOKSTORE,VENUE,COFFEE,Park,SWEETS
26,2,Harvey Mudd College,50,Small,Harvey Mudd College,2,COFFEE,COMMON_RESTAURANT,SQUARE,CONVENIENCE,SWEETS,EASY_FOOD,BEAUTY,SELF_CARE,Tea Room,NOVEL_RESTAURANT
27,0,Johns Hopkins University,27,Medium,Johns Hopkins University,0,COMMON_RESTAURANT,EASY_FOOD,SELF_CARE,SWEETS,LIQUOR,CONVENIENCE,BREAKFAST,GROCERY,Gift Shop,Park
28,0,Kenyon College,72,Small,Kenyon College,0,EASY_FOOD,CONVENIENCE,COFFEE,GROCERY,COMMON_RESTAURANT,TRAIL,SELF_CARE,MUSEUM,RESTAURANT,NOVEL_RESTAURANT
29,1,Lehigh University,55,Medium,Lehigh University,1,COMMON_RESTAURANT,EASY_FOOD,COFFEE,PUB,CONVENIENCE,RESTAURANT,SWEETS,NOVEL_RESTAURANT,SQUARE,Salon / Barbershop
30,2,Massachusetts Institute of Technology,1,Medium,Massachusetts Institute of Technology,2,EASY_FOOD,GYM,RESTAURANT,COMMON_RESTAURANT,Park,PUB,COFFEE,SQUARE,NOVEL_RESTAURANT,Tea Room
31,0,Middlebury College,33,Small,Middlebury College,0,VENUE,MUSEUM,COFFEE,GYM,ART,Smoke Shop,Student Center,Tea Room,Salon / Barbershop,STADIUM
32,1,New York University,46,Large,New York University,1,COMMON_RESTAURANT,COFFEE,SWEETS,NOVEL_RESTAURANT,RESTAURANT,GYM,EASY_FOOD,SELF_CARE,VENUE,THEATER
33,2,Northeastern University,44,Medium,Northeastern University,2,EASY_FOOD,COMMON_RESTAURANT,VENUE,COFFEE,ART,SWEETS,RESTAURANT,MUSEUM,NOVEL_RESTAURANT,GROCERY
34,0,Northwestern University,11,Medium,Northwestern University,0,COFFEE,GYM,EASY_FOOD,ART,COMMON_RESTAURANT,MUSEUM,BEAUTY,RESTAURANT,JUICE,SWEETS
35,1,Pomona College,13,Small,Pomona College,1,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,COFFEE,SWEETS,BREAKFAST,NOVEL_RESTAURANT,FANCY_FOOD,THEATER,SQUARE
36,2,Princeton University,5,Medium,Princeton University,2,SQUARE,COFFEE,COMMON_RESTAURANT,BEAUTY,RESTAURANT,VENUE,PUB,BOOKSTORE,MUSEUM,THEATER
37,0,Rensselaer Polytechnic Institute,73,Medium,Rensselaer Polytechnic Institute,0,PUB,GYM,EASY_FOOD,LIQUOR,RESTAURANT,Smoke Shop,Student Center,THEATER,COFFEE,Clothing Store
38,0,Rice University,10,Medium,Rice University,0,ART,COFFEE,STADIUM,THEATER,PUB,VENUE,Park,Salon / Barbershop,Smoke Shop,Student Center
39,0,Smith College,62,Small,Smith College,0,RESTAURANT,COMMON_RESTAURANT,NOVEL_RESTAURANT,SELF_CARE,FANCY_BAR,Tea Room,MUSEUM,BOOKSTORE,VENUE,COFFEE
40,2,Southern Methodist University,77,Medium,Southern Methodist University,2,EASY_FOOD,COMMON_RESTAURANT,SWEETS,RESTAURANT,SQUARE,COFFEE,SELF_CARE,Salon / Barbershop,CONVENIENCE,GYM
41,2,Stanford University,2,Medium,Stanford University,2,COFFEE,ART,EASY_FOOD,BEAUTY,SQUARE,MUSEUM,STADIUM,HISTORIC,GYM,CONVENIENCE
42,0,Swarthmore College,40,Small,Swarthmore College,0,EASY_FOOD,TRAIL,SWEETS,FANCY_FOOD,COMMON_RESTAURANT,RESTAURANT,PUB,BREAKFAST,GYM,GROCERY
43,2,Tufts University,25,Medium,Tufts University,2,COMMON_RESTAURANT,COFFEE,EASY_FOOD,RESTAURANT,SWEETS,SQUARE,LIQUOR,VENUE,THEATER,Salon / Barbershop
44,1,University of California - Berkeley,41,Large,University of California - Berkeley,1,RESTAURANT,COMMON_RESTAURANT,COFFEE,EASY_FOOD,NOVEL_RESTAURANT,SWEETS,PUB,GYM,BREAKFAST,THEATER
45,4,University of California - Los Angeles,26,Large,University of California - Los Angeles,4,COFFEE,EASY_FOOD,SQUARE,COMMON_RESTAURANT,ART,BEAUTY,VENUE,MUSEUM,RESTAURANT,GYM
46,0,University of California - Santa Barbara,75,Large,University of California - Santa Barbara,0,EASY_FOOD,COMMON_RESTAURANT,BEAUTY,GYM,COFFEE,SWEETS,NOVEL_RESTAURANT,JUICE,THEATER,MUSEUM
47,2,University of Chicago,18,Medium,University of Chicago,2,COFFEE,EASY_FOOD,RESTAURANT,MUSEUM,BOOKSTORE,BREAKFAST,CONVENIENCE,SWEETS,THEATER,COMMON_RESTAURANT
48,0,University of Florida,59,Large,University of Florida,0,BREAKFAST,COMMON_RESTAURANT,BEAUTY,MUSEUM,VENUE,GROCERY,EASY_FOOD,Salon / Barbershop,ART,PUB
49,0,University of Georgia,66,Large,University of Georgia,0,GYM,ART,VENUE,COFFEE,FANCY_BAR,MUSEUM,STADIUM,EASY_FOOD,Student Center,Tea Room
50,0,University of Illinois at Urbana-Champaign,64,Large,University of Illinois at Urbana-Champaign,0,COFFEE,STADIUM,ART,MUSEUM,GYM,EASY_FOOD,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,BOOKSTORE
51,0,University of Miami,74,Medium,University of Miami,0,COMMON_RESTAURANT,EASY_FOOD,BREAKFAST,GYM,COFFEE,SELF_CARE,CONVENIENCE,JUICE,PUB,MUSEUM
52,1,University of Michigan - Ann Arbor,23,Large,University of Michigan - Ann Arbor,1,EASY_FOOD,RESTAURANT,COFFEE,THEATER,PUB,NOVEL_RESTAURANT,BREAKFAST,COMMON_RESTAURANT,ART,MUSEUM
53,2,University of North Carolina at Chapel Hill,43,Large,University of North Carolina at Chapel Hill,2,EASY_FOOD,COFFEE,COMMON_RESTAURANT,GYM,THEATER,VENUE,HISTORIC,SQUARE,BOOKSTORE,BEAUTY
54,0,University of Notre Dame,17,Medium,University of Notre Dame,0,EASY_FOOD,COMMON_RESTAURANT,ART,BREAKFAST,COFFEE,MUSEUM,Tea Room,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE
55,4,University of Pennsylvania,9,Medium,University of Pennsylvania,4,EASY_FOOD,COMMON_RESTAURANT,COFFEE,SQUARE,RESTAURANT,BREAKFAST,SWEETS,SELF_CARE,BOOKSTORE,ART
56,0,University of Richmond,61,Medium,University of Richmond,0,COFFEE,VENUE,ART,MUSEUM,PUB,GYM,CONVENIENCE,Smoke Shop,Student Center,Tea Room
57,2,University of Rochester,76,Medium,University of Rochester,2,COFFEE,EASY_FOOD,SQUARE,GYM,CONVENIENCE,Park,Student Center,THEATER,COMMON_RESTAURANT,BOOKSTORE
58,3,University of Southern California,19,Large,University of Southern California,3,MUSEUM,EASY_FOOD,COMMON_RESTAURANT,COFFEE,THEATER,RESTAURANT,NOVEL_RESTAURANT,STADIUM,GROCERY,SWEETS
59,2,University of Texas - Austin,51,Large,University of Texas - Austin,2,COFFEE,GYM,EASY_FOOD,ART,MUSEUM,VENUE,COMMON_RESTAURANT,THEATER,STADIUM,SQUARE
60,0,University of Virginia,29,Large,University of Virginia,0,COMMON_RESTAURANT,EASY_FOOD,BREAKFAST,CONVENIENCE,COFFEE,RESTAURANT,GYM,MUSEUM,PUB,ART
61,0,University of Wisconsin - Madison,63,Large,University of Wisconsin - Madison,0,BEAUTY,COFFEE,GYM,BOOKSTORE,THEATER,RESTAURANT,NOVEL_RESTAURANT,COMMON_RESTAURANT,SELF_CARE,STADIUM
62,0,Vassar College,65,Small,Vassar College,0,ART,EASY_FOOD,PUB,TRAIL,MUSEUM,FANCY_FOOD,GYM,Student Center,Smoke Shop,THEATER
63,1,Virginia Tech,58,Large,Virginia Tech,1,COMMON_RESTAURANT,EASY_FOOD,PUB,COFFEE,BREAKFAST,RESTAURANT,CONVENIENCE,BOOKSTORE,SWEETS,NOVEL_RESTAURANT
64,0,Wake Forest University,42,Medium,Wake Forest University,0,COFFEE,EASY_FOOD,Student Center,MUSEUM,BREAKFAST,CONVENIENCE,COMMON_RESTAURANT,RESTAURANT,NOVEL_RESTAURANT,BOOKSTORE
65,0,Washington University in St. Louis,14,Medium,Washington University in St. Louis,0,VENUE,COMMON_RESTAURANT,BREAKFAST,COFFEE,EASY_FOOD,THEATER,BOOKSTORE,GYM,RESTAURANT,NOVEL_RESTAURANT
66,0,Wellesley College,39,Small,Wellesley College,0,COMMON_RESTAURANT,Clothing Store,FANCY_FOOD,PUB,BOOKSTORE,TRAIL,MUSEUM,GYM,ART,EASY_FOOD
67,0,Wesleyan University,54,Small,Wesleyan University,0,COFFEE,EASY_FOOD,RESTAURANT,COMMON_RESTAURANT,GYM,BREAKFAST,CONVENIENCE,NOVEL_RESTAURANT,THEATER,MUSEUM
68,1,Yale University,3,Medium,Yale University,1,COMMON_RESTAURANT,EASY_FOOD,RESTAURANT,SWEETS,COFFEE,BREAKFAST,THEATER,MUSEUM,ART,NOVEL_RESTAURANT
