Institution,Total Cost of Attendance,Full-Time Undergrads,Full-Time Nonresident Aliens ,Percentage of Nonresident Aliens to All Undergrads,Policy: Need-based,Policy: Merit,Policy: No Aid,Percentage of Nonresident Aliens Receiving Aid,Average Aid Award,Average Cost with Aid,Expected Cost
U. of Michigan - Ann Arbor,30298.0,30298.0,2107.0,7.0,False,True,True,0.0,0.0,30298.0,30298.0
Goucher C.,62130.0,62130.0,43.0,3.0,True,True,False,100.0,31629.0,30501.0,30501.0
Clemson U.,30866.0,30866.0,132.0,1.0,False,True,True,0.0,0.0,30866.0,30866.0
U. of Cal. - Merced,36020.0,36020.0,572.0,7.0,False,True,False,2.0,5000.0,31020.0,35906.0
Georgia Inst. of Technology,31080.0,31080.0,1375.0,10.0,False,True,True,0.0,0.0,31080.0,31080.0
Lake Forest C.,62850.0,62850.0,153.0,10.0,True,True,False,99.0,31763.0,31087.0,31502.0
Quinnipiac U.,67220.0,67220.0,139.0,2.0,True,True,False,99.0,36116.0,31104.0,31624.0
Gordon C.,52277.0,52277.0,146.0,9.0,True,True,False,100.0,21058.0,31219.0,31219.0
Howard U.,44630.0,44630.0,380.0,6.0,True,True,False,100.0,13380.0,31250.0,31250.0
Linfield C.,59452.0,59452.0,37.0,3.0,True,True,False,100.0,28022.0,31430.0,31430.0
Mills C.,48765.0,48765.0,6.0,1.0,True,True,False,100.0,17222.0,31543.0,31543.0
Beloit C.,62764.0,62764.0,212.0,18.0,True,True,False,100.0,31216.0,31548.0,31695.0
Auburn U.,31590.0,31590.0,1183.0,5.0,False,True,True,0.0,0.0,31590.0,31590.0
Kalamazoo C. ,63176.0,63176.0,85.0,6.0,True,True,False,95.0,31380.0,31796.0,33273.0
Agnes Scott C.,57505.0,57505.0,63.0,7.0,True,True,False,100.0,25591.0,31914.0,31914.0
Roanoke C.,62943.0,62943.0,47.0,2.0,True,True,False,100.0,30877.0,32066.0,32066.0
Eckerd C.,62094.0,62094.0,70.0,4.0,False,True,False,89.0,30007.0,32087.0,35516.0
Randolph C.,58661.0,58661.0,18.0,3.0,False,True,False,100.0,26551.0,32110.0,32110.0
U. of Cal. - Sta. Cruz,37186.0,37186.0,1394.0,8.0,True,True,False,68.0,4964.0,32222.0,33832.0
Sacred Heart U.,62880.0,62880.0,74.0,1.0,False,True,False,82.0,30603.0,32277.0,37653.0
Ithaca C.,64377.0,64377.0,113.0,2.0,True,True,False,93.0,32031.0,32346.0,34614.0
Duquesne U.,56680.0,56680.0,177.0,3.0,False,True,False,64.0,24209.0,32471.0,41088.0
Virginia Military Inst.,32634.0,32634.0,32.0,2.0,False,True,True,0.0,0.0,32634.0,32634.0
C. of St. Benedict,60788.0,60788.0,78.0,4.0,True,True,False,77.0,28073.0,32715.0,39193.0
C. of Wooster,63250.0,63250.0,290.0,15.0,True,True,False,98.0,30349.0,32901.0,33529.0
Saint John's U. - Minnesota,59474.0,59474.0,82.0,5.0,True,True,False,85.0,26353.0,33121.0,36978.0
U. of Massachusetts - Boston,33181.0,33181.0,1309.0,14.0,False,True,True,0.0,0.0,33181.0,33181.0
"Penn State U. - Erie, Behrend C.",33396.0,33396.0,355.0,9.0,False,True,True,0.0,0.0,33396.0,33396.0
Dickinson C.,74204.0,74204.0,325.0,14.0,True,True,False,76.0,40805.0,33399.0,43318.0
U. of Virginia,33493.0,33493.0,698.0,4.0,False,True,False,0.0,0.0,33493.0,33493.0
Ohio Northern U.,49392.0,49392.0,42.0,2.0,True,True,False,38.0,15887.0,33505.0,43340.0
Reed C.,75885.0,75885.0,142.0,10.0,True,True,False,29.0,42270.0,33615.0,63680.0
Lawrence U. ,62166.0,62166.0,181.0,13.0,True,True,False,99.0,28406.0,33760.0,34074.0
Lynn U.,57743.0,57743.0,384.0,19.0,False,True,False,58.0,23959.0,33784.0,43767.0
U. of Connecticut,34284.0,34284.0,1743.0,9.0,False,True,True,0.0,0.0,34284.0,34284.0
Manhattan C.,63160.0,63160.0,118.0,3.0,False,True,False,72.0,28789.0,34371.0,42422.0
Bethel U.,53200.0,53200.0,22.0,1.0,True,True,False,77.0,18813.0,34387.0,38663.0
U. of Pittsburgh,34409.0,34409.0,912.0,5.0,False,True,True,0.0,0.0,34409.0,34409.0
Austin C.,56532.0,56532.0,24.0,2.0,False,True,False,83.0,22065.0,34467.0,38145.0
Brandeis U.,76141.0,76141.0,725.0,20.0,True,True,False,10.0,41082.0,35059.0,71891.0
Hamline U.,54056.0,54056.0,13.0,1.0,True,True,False,100.0,18868.0,35188.0,35188.0
Clark U.,58430.0,58430.0,280.0,13.0,False,True,False,80.0,23165.0,35265.0,39815.0
Cornell C.,57840.0,57840.0,72.0,7.0,False,True,False,96.0,22102.0,35738.0,36659.0
Loyola U. New Orleans,55416.0,55416.0,67.0,3.0,False,True,False,57.0,19140.0,36276.0,44560.0
Oglethorpe U.,57460.0,57460.0,99.0,8.0,True,True,False,100.0,21173.0,36287.0,36287.0
U. of Cal. - Berkeley,36410.0,36410.0,4000.0,14.0,False,True,True,0.0,0.0,36410.0,36410.0
St. Lawrence U.,73044.0,73044.0,217.0,9.0,True,True,False,98.0,36579.0,36465.0,37139.0
Penn State U - U. Park,36652.0,36652.0,4819.0,12.0,False,True,True,0.0,0.0,36652.0,36652.0
Boston U.,71618.0,71618.0,3687.0,22.0,False,True,False,6.0,34717.0,36901.0,69490.0
Adelphi U.,58586.0,58586.0,165.0,3.0,False,True,False,60.0,21534.0,37052.0,45666.0
Oberlin C. and Cons.,73938.0,73938.0,315.0,11.0,True,True,False,57.0,36763.0,37175.0,53164.0
Juilliard School,66638.0,66638.0,135.0,28.0,True,True,False,89.0,29406.0,37232.0,40499.0
Occidental C.,74132.0,74132.0,122.0,6.0,True,True,False,12.0,36801.0,37331.0,69607.0
Furman U.,66658.0,66658.0,97.0,4.0,False,True,False,88.0,28789.0,37869.0,41431.0
Mount Holyoke C.,70228.0,70228.0,595.0,27.0,True,True,False,49.0,32307.0,37921.0,54427.0
Trinity U.,61280.0,61280.0,113.0,5.0,True,True,False,94.0,23328.0,37952.0,39397.0
Allegheny C.,65400.0,65400.0,63.0,4.0,False,True,False,97.0,27389.0,38011.0,38880.0
Illinois Wesleyan U.,63298.0,63298.0,95.0,6.0,True,True,False,98.0,25227.0,38071.0,38602.0
Case Western Reserve U.,70118.0,70118.0,693.0,14.0,True,True,False,18.0,31870.0,38248.0,64277.0
Ohio Wesleyan U.,63480.0,63480.0,97.0,6.0,True,True,False,72.0,24937.0,38543.0,45484.0
Rollins C.,70690.0,70690.0,181.0,9.0,True,True,False,64.0,31877.0,38813.0,50261.0
C. of William and Mary ,38889.0,38889.0,381.0,6.0,False,True,True,0.0,0.0,38889.0,38889.0
Stonehill C.,61246.0,61246.0,21.0,1.0,False,True,False,100.0,22349.0,38897.0,38897.0
Scripps C.,73756.0,73756.0,51.0,5.0,True,True,False,27.0,34718.0,39038.0,64226.0
Marist C.,61620.0,61620.0,128.0,3.0,True,True,False,95.0,22333.0,39287.0,40508.0
Valparaiso U.,56900.0,56900.0,116.0,4.0,False,True,False,76.0,17305.0,39595.0,43772.0
Hofstra U.,64458.0,64458.0,390.0,6.0,False,True,False,58.0,24125.0,40333.0,50354.0
Saint Mary's C. - Indiana,59420.0,59420.0,14.0,1.0,True,True,False,86.0,18750.0,40670.0,43349.0
Denison U.,69280.0,69280.0,281.0,12.0,True,True,False,100.0,28464.0,40816.0,40816.0
Regis U.,55508.0,55508.0,56.0,2.0,True,True,False,39.0,14399.0,41109.0,49851.0
Alfred U.,51988.0,51988.0,40.0,3.0,True,True,False,58.0,10457.0,41531.0,45975.0
Roger Williams U.,54642.0,54642.0,74.0,2.0,False,True,False,39.0,13000.0,41642.0,49547.0
Marquette U.,60252.0,60252.0,221.0,3.0,False,True,False,95.0,18598.0,41654.0,42496.0
Whittier C.,65613.0,65613.0,49.0,3.0,False,True,False,80.0,23753.0,41860.0,46708.0
Hampshire C.,67514.0,67514.0,65.0,6.0,True,True,False,97.0,25549.0,41965.0,42751.0
U. of Denver,70092.0,70092.0,428.0,8.0,False,True,False,73.0,27894.0,42198.0,49823.0
U. of Miami,70906.0,70906.0,1631.0,16.0,True,True,False,19.0,28679.0,42227.0,65596.0
Drake U.,58488.0,58488.0,122.0,4.0,True,True,False,78.0,16226.0,42262.0,45853.0
Drew U.,55514.0,55514.0,167.0,11.0,True,True,False,78.0,13240.0,42274.0,45128.0
Florida Inst. of Technology,60150.0,60150.0,962.0,30.0,False,True,False,63.0,17867.0,42283.0,48951.0
Widener U.,63422.0,63422.0,65.0,2.0,False,True,False,32.0,21048.0,42374.0,56622.0
Wentworth Inst. of Technology,53390.0,53390.0,307.0,8.0,False,True,False,62.0,10909.0,42481.0,46639.0
Lawrence Technological U.,51846.0,51846.0,240.0,14.0,False,True,False,27.0,8906.0,42940.0,49471.0
Whitman C.,66282.0,66282.0,103.0,7.0,True,True,False,54.0,22852.0,43430.0,53858.0
U. of Dayton,61900.0,61900.0,441.0,5.0,False,True,False,41.0,18401.0,43499.0,54431.0
U. of Redlands,71488.0,71488.0,74.0,3.0,True,True,False,100.0,27722.0,43766.0,43766.0
Tulane U.,75884.0,75884.0,325.0,4.0,True,True,False,73.0,31738.0,44146.0,52837.0
Southern Methodist U.,76710.0,76710.0,521.0,8.0,False,True,False,47.0,32551.0,44159.0,61465.0
Muhlenberg C.,69765.0,69765.0,90.0,4.0,True,True,False,44.0,24634.0,45131.0,58817.0
Loyola U. Chicago,63573.0,63573.0,556.0,5.0,False,True,False,78.0,17678.0,45895.0,49710.0
Pace U.,66499.0,66499.0,855.0,11.0,False,True,False,51.0,20472.0,46027.0,55964.0
Illinois Inst. of Technology ,68330.0,68330.0,529.0,20.0,False,True,False,100.0,22237.0,46093.0,46093.0
Milwaukee School of Engin.,57179.0,57179.0,196.0,8.0,False,True,False,64.0,11064.0,46115.0,50123.0
Saint Michael's C.,62264.0,62264.0,49.0,3.0,False,True,False,96.0,16115.0,46149.0,46807.0
Harvey Mudd C.,77753.0,77753.0,83.0,10.0,True,True,False,31.0,31465.0,46288.0,67896.0
Biola U.,59176.0,59176.0,120.0,3.0,True,True,False,165.0,12141.0,47035.0,39143.0
Olin C. of Engineering,74286.0,74286.0,26.0,8.0,True,True,False,100.0,27021.0,47265.0,47265.0
U. of San Francisco,71092.0,71092.0,939.0,15.0,False,True,False,21.0,23794.0,47298.0,66151.0
U. of Dallas,59600.0,59600.0,47.0,3.0,True,True,False,100.0,11997.0,47603.0,47603.0
Worcester Polytechnic Inst.,67704.0,67704.0,423.0,10.0,True,True,False,98.0,19830.0,47874.0,48202.0
U. of Puget Sound,68146.0,68146.0,10.0,1.0,False,True,False,100.0,19500.0,48646.0,48646.0
Drexel U.,72257.0,72257.0,1678.0,12.0,True,True,False,86.0,23565.0,48692.0,52062.0
Clarkson U.,70468.0,70468.0,68.0,2.0,False,True,False,94.0,21424.0,49044.0,50304.0
Baylor U.,65730.0,65730.0,474.0,3.0,False,True,False,76.0,16626.0,49104.0,53033.0
Hobart and William Smith C.,73710.0,73710.0,122.0,6.0,True,True,False,68.0,24557.0,49153.0,57003.0
Wheaton C. (MA),70664.0,70664.0,170.0,10.0,True,True,False,88.0,21331.0,49333.0,51968.0
Pratt Inst.,70358.0,70358.0,1083.0,33.0,True,True,False,43.0,17996.0,52362.0,62648.0
Centre C.,55460.0,55460.0,92.0,6.0,True,True,False,97.0,2217.0,53243.0,53315.0
Wake Forest U.,68900.0,68900.0,521.0,10.0,False,True,False,15.0,14280.0,54620.0,66762.0
U. of Southern California,73270.0,73270.0,2491.0,13.0,False,True,False,21.0,18069.0,55201.0,69433.0
Northeastern U.,73236.0,73236.0,3214.0,18.0,False,True,False,14.0,18031.0,55205.0,70622.0
Pepperdine U.,75312.0,75312.0,465.0,14.0,False,True,False,41.0,19546.0,55766.0,67325.0
Fordham U.,76506.0,76506.0,821.0,9.0,False,True,False,24.0,20657.0,55849.0,71600.0
New York U.,76612.0,76612.0,5394.0,21.0,True,True,False,14.0,20376.0,56236.0,73669.0
San Francisco Art Inst.,63341.0,63341.0,62.0,23.0,False,True,False,98.0,6562.0,56779.0,56885.0
U. of San Diego,70999.0,70999.0,523.0,9.0,False,True,False,6.0,12635.0,58364.0,70250.0
Chapman U.,77412.0,77412.0,267.0,4.0,False,True,False,47.0,18775.0,58637.0,68552.0
Rose-Hulman Inst. of Tech.,65397.0,65397.0,312.0,15.0,False,True,False,98.0,5086.0,60311.0,60393.0
George Washington U.,76543.0,76543.0,1306.0,12.0,True,True,False,30.0,15487.0,61056.0,71918.0
"Eugene Lang, The New School",72614.0,72614.0,154.0,9.0,True,True,False,49.0,11291.0,61323.0,67042.0
Loyola Marymount U.,71581.0,71581.0,674.0,11.0,False,True,False,31.0,7564.0,64017.0,69235.0
"Parsons, The New School",72614.0,72614.0,1925.0,50.0,True,True,False,68.0,7646.0,64968.0,67383.0
Rensselaer Polytechnic Inst.,67006.0,67006.0,980.0,15.0,False,True,True,0.0,0.0,67006.0,67006.0
Carnegie Mellon U.,74116.0,74116.0,1507.0,23.0,False,True,True,0.0,0.0,74116.0,74116.0
Alma C.,,,,,False,True,False,,,,
Antioch C.,49108.0,49108.0,0.0,0.0,True,True,False,,,,49108.0
Aquinas C.,,,,,False,True,False,,,,
Assumption C.,,,,,False,True,False,,,,
Augsburg C.,,,,,False,True,False,,,,
Azusa Pacific U.,54144.0,54144.0,172.0,3.0,False,True,False,0.0,,,54144.0
Babson C.,,,,,False,True,False,,,,
Barry U.,47150.0,47150.0,276.0,9.0,False,True,False,0.0,,,47150.0
Becker C.,,,,,False,True,False,,,,
Bennington C.,,,,,False,True,False,,,,
Bentley U.,,,,,False,True,False,,,,
Berea C.,,,,,False,True,False,,,,
Berry C.,,,,,False,True,False,,,,
Birmingham-Southern C.,,,,,False,True,False,,,,
Boise State U.,,,252.0,2.0,True,True,False,16.0,7724.0,,
Boston C.,,,,,False,True,False,,,,
Bradley U.,,,,,False,True,False,,,,
Bryant U.,,,,,False,True,False,,,,
Butler U.,61950.0,61950.0,45.0,1.0,False,True,False,0.0,,,61950.0
California C. of the Arts,,,,,False,True,False,,,,
Cal. State U. - Northridge,,,,,False,True,False,,,,
Calvin C.,,,,,False,True,False,,,,
Catholic U.,67112.0,67112.0,184.0,6.0,True,True,False,0.0,,,67112.0
Champlain C.,,,,,False,True,False,,,,
Claremont McKenna C.,73000.0,73000.0,212.0,16.0,True,True,False,15.0,51364.0,21636.0,65489.0
Coe C.,,,,,False,True,False,,,,
Colby Sawyer C.,,,,,False,True,False,,,,
Columbia C. Chicago,,,,,False,True,False,,,,
Columbia U.,,,,,False,True,False,,,,
Cooper Union,,,,,False,True,False,,,,
Creighton U.,,,,,False,True,False,,,,
CUNY - Baruch C.,13798.0,13798.0,1614.0,14.0,True,True,False,0.0,,,13798.0
Curry C.,,,,,False,True,False,,,,
Dean C.,,,,,False,True,False,,,,
Deep Springs C.,,,,,False,True,False,,,,
DePaul U.,57678.0,57678.0,455.0,4.0,False,True,True,0.0,,,57678.0
DePauw U.,67046.0,67046.0,246.0,11.0,False,True,False,0.0,,,67046.0
East Carolina U.,,,,,False,True,False,,,,
Elmira C.,,,,,False,True,False,,,,
Embry Riddle Aero. U. - Daytona,,,,,False,True,False,,,,
Embry Riddle Aero. U. - Prescott,,,,,False,True,False,,,,
Emerson C.,,,,,False,True,False,,,,
Emmanuel C.,,,,,False,True,False,,,,
Endicott C.,,,,,False,True,False,,,,
Fairleigh Dickinson U.,,,,,False,True,False,,,,
Fashion Inst. of Technology,,,,,False,True,False,,,,
Flagler C.,35444.0,35444.0,106.0,4.0,False,True,False,0.0,,,35444.0
Florida Southern C.,,,,,False,True,False,,,,
Fontbonne U.,,,,,False,True,False,,,,
Gettysburg C.,,,154.0,6.0,True,True,False,85.0,31224.0,,
Guilford C.,,,,,False,True,False,,,,
Hampden-Sydney C.,,,,,False,True,False,,,,
Hartwick C.,,,,,False,True,False,,,,
Hendrix C.,,,,,False,True,False,,,,
High Point U.,,,,,False,True,False,,,,
Hiram C.,,,,,False,True,False,,,,
Houghton C.,,,,,False,True,False,,,,
Iona C.,,,,,False,True,False,,,,
John Brown U.,,,,,False,True,False,,,,
Johns Hopkins U.,,,,,False,True,False,,,,
Juniata C.,,,,,False,True,False,,,,
Kansas State U.,20423.0,20423.0,749.0,4.0,False,True,False,,,,20423.0
Kettering U.,,,,,False,True,False,,,,
Lesley U.,,,,,False,True,False,,,,
LeTourneau U.,,,,,False,True,False,,,,
Loyola U. Maryland,68990.0,68990.0,28.0,1.0,False,True,True,0.0,,,68990.0
Lycoming C.,,,65.0,6.0,True,True,False,98.0,24047.0,,
Maine Maritime Academy,,,,,False,True,False,,,,
Malone U.,,,,,False,True,False,,,,
Maryland Inst. C. of Art,,,,,False,True,False,,,,
Marymount Manhattan C.,,,,,False,True,False,,,,
Mass. C. of Art and Design,,,,,False,True,False,,,,
McDaniel C.,,,,,False,True,False,,,,
Menlo C.,,,,,False,True,False,,,,
Mercyhurst U.,,,,,False,True,False,,,,
Middlebury C.,72000.0,72000.0,274.0,11.0,True,True,False,52.0,61036.0,10964.0,40368.0
Millsaps C.,,,,,False,True,False,,,,
Missouri U. of Science and Tech.,23993.0,23993.0,0.0,0.0,False,True,False,,,,23993.0
Mitchell C.,,,,,False,True,False,,,,
Monmouth C.,58491.0,58491.0,,,False,True,False,,,,58491.0
Morehouse C.,,,,,False,True,False,,,,
Muskingum U.,,,,,False,True,False,,,,
New York Inst. of Tech.,,,,,False,True,False,,,,
Northern Illinois U.,,,,,False,True,False,,,,
Nova Southeastern U.,,,289.0,8.0,False,True,False,76.0,9157.0,,
Ohio State U. - Columbus,,,3947.0,9.0,False,True,False,1.0,3719.0,,
Otterbein U.,,,,,False,True,False,,,,
Prescott C.,,,3.0,1.0,False,True,False,0.0,0.0,,
Rhode Island School of Design,,,,,False,True,False,,,,
Ripon C.,,,,,False,True,False,,,,
Robert Morris U.,,,423.0,11.0,False,True,False,26.0,27453.0,,
Rochester Inst. of Technology,,,,,False,True,False,,,,
Rowan U.,33211.0,33211.0,142.0,1.0,False,True,False,,,,33211.0
Saint Louis U.,,,,,False,True,False,,,,
Salve Regina U.,55170.0,55170.0,,,False,True,False,,,,55170.0
San Francisco Cons. of Music,,,,,False,True,False,,,,
Santa Clara U.,,,229.0,4.0,False,True,False,9.0,46397.0,,
Sarah Lawrence C.,,,,,False,True,False,,,,
Savannah C. of Art and Design,,,,,False,True,False,,,,
Seattle U.,,,504.0,11.0,True,True,False,100.0,9379.0,,
Seton Hall U.,,,,,False,True,False,,,,
Seton Hill U.,,,,,False,True,False,,,,
Siena C.,57360.0,57360.0,83.0,3.0,True,True,False,0.0,,,57360.0
S. Illinois U. - Carbondale,,,,,False,True,False,,,,
Southern New Hampshire U.,,,,,False,True,False,,,,
Southwestern U.,,,14.0,1.0,False,True,False,100.0,24746.0,,
St. Cloud State U.,,,949.0,13.0,False,True,True,0.0,,,
St. John's U. - New York,,,,,False,True,False,,,,
St. Norbert C.,,,,,False,True,False,,,,
Stevens Inst. of Technology,,,,,False,True,False,,,,
Suffolk U.,,,,,False,True,False,,,,
SUNY Environ. Science and For.,25659.0,25659.0,62.0,3.0,False,True,False,0.0,,,25659.0
SUNY Geneseo,,,79.0,1.0,False,True,False,71.0,4200.0,,
SUNY Maritime,,,,,False,True,False,,,,
Susquehanna C.,,,,,False,True,False,,,,
Sweet Briar C.,,,,,False,True,False,,,,
Syracuse U.,,,,,False,True,False,,,,
Temple U.,45000.0,45000.0,1721.0,6.0,True,True,False,33.0,12394.0,32606.0,40873.0
The New School Coll. of Perf. Arts,,,179.0,31.0,True,True,False,63.0,18423.0,,
Truman State U.,,,,,False,True,False,,,,
Tufts U.,74000.0,74000.0,588.0,11.0,True,True,False,29.0,60243.0,13757.0,56788.0
U. of Cal. - Irvine,63000.0,63000.0,5050.0,17.0,True,True,False,1.0,17853.0,45147.0,62859.0
U. of Chicago,,,,,False,True,False,,,,
U. of Colorado - CS,,,87.0,1.0,False,True,True,0.0,0.0,,
U. of Hartford,,,,,False,True,False,,,,
U. of Kentucky,,,509.0,2.0,True,True,False,57.0,14973.0,,
U. of Lynchburg,,,,,False,True,False,,,,
U. of Massachusetts - Dmouth,,,146.0,3.0,False,True,False,14.0,3212.0,,
U. of Memphis,,,265.0,2.0,False,True,False,29.0,20463.0,,
U. of Michigan - Dearborn,,,136.0,3.0,False,True,False,60.0,10414.0,,
U. of Minnesota - Duluth,,,132.0,2.0,True,True,False,42.0,8984.0,,
U.of Minnesota - Twin Cities,,,2620.0,9.0,True,True,False,9.0,3553.0,,
U. of Missouri - Columbia,28131.0,28131.0,662.0,3.0,True,True,False,0.0,,,28131.0
U. of New Mexico,,,408.0,3.0,True,True,False,0.0,,,
U. of New Orleans ,,,,,False,True,False,,,,
U. of North Carolina Sch. of the Arts,22279.0,22279.0,25.0,,False,True,False,0.0,,,22279.0
U. of North Texas,4250.0,4250.0,1215.0,5.0,False,True,False,0.0,,,4250.0
U. of Northern Iowa,,,260.0,3.0,False,True,False,39.0,4499.0,,
U. of Oklahoma,,,827.0,4.0,False,True,False,5.0,7930.0,,
U. of the Pacific,66971.0,66971.0,234.0,7.0,False,True,False,,,,66971.0
U. of Rochester,,,,,False,True,False,,,,
U. of Tampa,,,,,False,True,False,,,,
U. of Texas - Arlington ,,,,,False,True,False,,,,
U. of Texas - El Paso,,,,,False,True,False,,,,
U. of Tulsa,,,,,False,True,False,,,,
U. of Utah,24752.0,24752.0,1047.0,6.0,False,True,False,0.0,,,24752.0
U. of Wisconsin - Madison,,,3082.0,11.0,False,True,True,0.0,0.0,,
U. of Wisconsin - Superior,,,219.0,12.0,True,True,False,98.0,6859.0,,
Ursinus C.,,,,,False,True,False,,,,
Vassar C.,73000.0,73000.0,208.0,8.0,True,True,False,40.0,63075.0,9925.0,47527.0
Virginia Commonwealth U.,,,653.0,3.0,False,True,False,8.0,8192.0,,
Washington and Jefferson C.,,,39.0,3.0,True,True,False,92.0,22790.0,,
Washington State U.,,,998.0,5.0,True,True,False,34.0,10864.0,,
Webster U.,,,,,False,True,False,,,,
Wesleyan C.,,,,,False,True,False,,,,
Wesleyan U.,73000.0,73000.0,364.0,12.0,True,True,False,24.0,64017.0,8983.0,57347.0
Western Washington U.,,,165.0,1.0,False,True,False,41.0,3591.0,,
Willamette U.,65964.0,65964.0,13.0,1.0,False,True,False,0.0,,,65964.0
William Jewell C.,,,,,False,True,False,,,,
Wofford C.,,,,,False,True,False,,,,
